Trial time;Recording time;X center;Y center;Area;Areachange;Elongation;Velocity;Result 1
3,123;3,123;-0,0736302;-0,0598609;0,00257921;0;0,758601;0;1
3,163;3,163;-0,0882669;-0,0640463;0,00258731;0,000880212;0,782418;0,380252;1
3,203;3,203;-0,0882669;-0,0640463;0,00258731;0;0,782418;0;1
3,243;3,243;-0,0985222;-0,0676998;0,00256368;0,00104424;0,814304;0,271929;1
3,283;3,283;-0,0985222;-0,0676998;0,00256368;0;0,814304;0;1
3,323;3,323;-0,108186;-0,0706277;0,00255221;0,000935562;0,845639;0,252211;1
3,363;3,363;-0,108186;-0,0706277;0,00255221;0;0,845639;0;1
3,403;3,403;-0,108186;-0,0706277;0,00255221;0;0,845639;0;1
3,443;3,443;-0,118441;-0,0724425;0,00254073;0,000913287;0,838195;0,260127;1
3,483;3,483;-0,118441;-0,0724425;0,00254073;0;0,838195;0;1
3,523;3,523;-0,118441;-0,0724425;0,00254073;0;0,838195;0;1
3,563;3,563;-0,118441;-0,0724425;0,00254073;0;0,838195;0;1
3,603;3,603;-0,118441;-0,0724425;0,00254073;0;0,838195;0;1
3,643;3,643;-0,118441;-0,0724425;0,00254073;0;0,838195;0;1
3,683;3,683;-0,125723;-0,0650023;0,00256638;0,00111174;0,753046;0,260037;1
3,723;3,723;-0,125723;-0,0650023;0,00256638;0;0,753046;0;1
3,763;3,763;-0,125723;-0,0650023;0,00256638;0;0,753046;0;1
3,803;3,803;-0,131583;-0,053661;0,00253803;0,000944337;0,742253;0,318864;1
3,843;3,843;-0,131583;-0,053661;0,00253803;0;0,742253;0;1
3,883;3,883;-0,13821;-0,0427308;0,00260418;0,000878862;0,782316;0,319285;1
3,923;3,923;-0,13821;-0,0427308;0,00260418;0;0,782316;0;1
3,964;3,964;-0,145034;-0,0315541;0,00247863;0,000874812;0,792241;0,327095;1
4,004;4,004;-0,145034;-0,0315541;0,00247863;0;0,792241;0;1
4,044;4,044;-0,151063;-0,0195038;0,00248133;0,00100104;0,791219;0,336563;1
4,084;4,084;-0,151063;-0,0195038;0,00248133;0;0,791219;0;1
4,124;4,124;-0,155243;-0,00519411;0,00245163;0,000860636;0,738792;0,372369;1
4,164;4,164;-0,155243;-0,00519411;0,00245163;0;0,738792;0;1
4,204;4,204;-0,157112;0,0108778;0,00240641;0,000517732;0,761982;0,40415;1
4,244;4,244;-0,157112;0,0108778;0,00240641;0;0,761982;0;1
4,284;4,284;-0,157665;0,0286041;0,00255356;0,000851861;0,818347;0,442985;1
4,324;4,324;-0,157665;0,0286041;0,00255356;0;0,818347;0;1
4,364;4,364;-0,157449;0,0461779;0,00267439;0,00123729;0,800363;0,438994;1
4,404;4,404;-0,157449;0,0461779;0,00267439;0;0,800363;0;1
4,444;4,444;-0,156813;0,0625445;0,00269801;0,000948387;0,826028;0,409116;1
4,484;4,484;-0,156813;0,0625445;0,00269801;0;0,826028;0;1
4,524;4,524;-0,156142;0,0768256;0,00267169;0,000598058;0,826736;0,357108;1
4,564;4,564;-0,156142;0,0768256;0,00267169;0;0,826736;0;1
4,604;4,604;-0,155658;0,0879461;0,00261903;0,000888312;0,793838;0,278032;1
4,644;4,644;-0,155658;0,0879461;0,00261903;0;0,793838;0;1
4,684;4,684;-0,155658;0,0879461;0,00261903;0;0,793838;0;1
4,724;4,724;-0,154717;0,09849;0,00252318;0,000635183;0,795587;0,264408;1
4,764;4,764;-0,154717;0,09849;0,00252318;0;0,795587;0;1
4,804;4,804;-0,154717;0,09849;0,00252318;0;0,795587;0;1
4,844;4,844;-0,154717;0,09849;0,00252318;0;0,795587;0;1
4,884;4,884;-0,154717;0,09849;0,00252318;0;0,795587;0;1
4,924;4,924;-0,153729;0,109572;0,00266561;0,000858611;0,82175;0,277904;1
4,964;4,964;-0,153729;0,109572;0,00266561;0;0,82175;0;1
5,004;5,004;-0,153729;0,109572;0,00266561;0;0,82175;0;1
5,044;5,044;-0,153729;0,109572;0,00266561;0;0,82175;0;1
5,085;5,085;-0,154253;0,121091;0,00259001;0,000421206;0,810918;0,288011;1
5,125;5,125;-0,154253;0,121091;0,00259001;0;0,810918;0;1
5,165;5,165;-0,154253;0,121091;0,00259001;0;0,810918;0;1
5,205;5,205;-0,154943;0,133757;0,00267641;0,000388805;0,826696;0,316833;1
5,245;5,245;-0,154943;0,133757;0,00267641;0;0,826696;0;1
5,285;5,285;-0,154943;0,133757;0,00267641;0;0,826696;0;1
5,325;5,325;-0,154546;0,146379;0,00260756;0,000652059;0,800317;0,315447;1
5,365;5,365;-0,154546;0,146379;0,00260756;0;0,800317;0;1
5,405;5,405;-0,154546;0,146379;0,00260756;0;0,800317;0;1
5,445;5,445;-0,153078;0,161327;0,00247188;0,000621008;0,797796;0,375144;1
5,485;5,485;-0,153078;0,161327;0,00247188;0;0,797796;0;1
5,525;5,525;-0,153078;0,161327;0,00247188;0;0,797796;0;1
5,565;5,565;-0,150746;0,174864;0,00259473;0,000715509;0,831397;0,343117;1
5,605;5,605;-0,150746;0,174864;0,00259473;0;0,831397;0;1
5,645;5,645;-0,150746;0,174864;0,00259473;0;0,831397;0;1
